OID_,LAT,LONG,SymbolID,B04,B05,B06
42811,20.528384655000025,104.73797428900008,5,0.05695,0.06385,0.0866
42812,20.52819599000003,104.73871346300004,5,0.0572,0.0721,0.0966
42813,20.52481832600005,104.72397710500007,5,0.05455,0.06885,0.09695
42814,20.528775461000063,104.74598290500006,5,0.0686,0.0859,0.126
42815,20.52941206500003,104.74397908100008,5,0.05105,0.07225,0.0918
42816,20.525691151000046,104.72631878300004,5,0.05865,0.0687,0.1025
42817,20.52744848800006,104.73672030900008,5,0.06425,0.0803,0.1208
42818,20.52762298100004,104.73689886600005,5,0.0681,0.0784,0.1092
42819,20.529039480000048,104.74252457600004,5,0.0504,0.0688,0.0943
42820,20.52690365800004,104.72873127700008,5,0.04185,0.0581,0.0858
42821,20.52797096000006,104.73903763700008,5,0.0572,0.0757,0.1066
42822,20.52937418700003,104.74534316700004,5,0.05485,0.0657,0.0905
42823,20.52730290200003,104.73128698900004,5,0.05955,0.06685,0.0908
42824,20.52909514000004,104.74105445800006,5,0.05485,0.0659,0.09885
42825,20.527621328000063,104.73729537700008,5,0.0681,0.08475,0.118
42826,20.526672075000025,104.72682666500005,5,0.0409,0.04635,0.0655
42827,20.528077272000075,104.73969439600006,5,0.05545,0.06845,0.097
42828,20.52881699600005,104.74479456500006,5,0.06695,0.0782,0.1143
42829,20.526556973000027,104.72693763400008,5,0.0409,0.0499,0.07105
42830,20.52814709200004,104.73779741200008,5,0.05255,0.0665,0.09175
42831,20.52888442400007,104.74233699700004,5,0.0598,0.06835,0.0969
42832,20.52533611100005,104.72526744200007,5,0.04525,0.05765,0.08575
42833,20.529363543000045,104.74363022300008,5,0.05055,0.06875,0.08785
42834,20.527681158000064,104.73198070700003,5,0.0448,0.0629,0.08965
42835,20.529339003000075,104.74352358600004,5,0.05055,0.0672,0.0895
42836,20.52794480500006,104.73820252600008,5,0.05695,0.078,0.1105
42837,20.52780635300008,104.73660402300004,5,0.06425,0.0706,0.0938
42838,20.52643245900004,104.72872008500008,5,0.05835,0.0735,0.1053
42839,20.529501005000043,104.74448713200007,5,0.0526,0.06655,0.08925
42840,20.52719907200003,104.73126731500008,5,0.05955,0.07255,0.0957
42841,20.527568993000045,104.73215758300006,5,0.04695,0.05895,0.0857
42842,20.52860016900007,104.74520340700008,5,0.06725,0.08625,0.1274
42843,20.526881406000037,104.73106550800009,5,0.05505,0.0758,0.10315
42844,20.527703391000045,104.73660123300004,5,0.06425,0.0719,0.1014
42845,20.527682523000067,104.73844177200004,5,0.072,0.0856,0.1276
42846,20.528901384000047,104.74447338900006,5,0.06695,0.07355,0.1037
42847,20.52770249100007,104.73781632100008,5,0.0698,0.08425,0.126
42848,20.527789609000024,104.74135457600003,5,0.0721,0.1045,0.1626
42849,20.527100791000063,104.73045568600008,5,0.05505,0.06705,0.0942
42850,20.526693637000047,104.73008509600004,5,0.0701,0.07685,0.105
42851,20.528027966000025,104.73965221800006,5,0.05545,0.0735,0.1054
42852,20.527122454000047,104.73332823500004,5,0.0708,0.09105,0.132
42853,20.527493390000075,104.73628310900004,5,0.06425,0.0803,0.1148
42854,20.529057325000053,104.74423913800004,5,0.05105,0.0679,0.0915
42855,20.52766040400008,104.73484103500004,5,0.05885,0.06985,0.0948
42856,20.528949209000075,104.74052313900006,5,0.05515,0.0679,0.0882
42857,20.52917828700004,104.74565129300004,5,0.05615,0.07455,0.10075
42858,20.52769316000007,104.73636228900004,5,0.06425,0.0729,0.0965
42859,20.527828202000023,104.73826782900004,5,0.072,0.0846,0.1257
42860,20.528574244000023,104.74134907200003,5,0.0503,0.06635,0.0949
42861,20.526801057000057,104.72757105500004,5,0.04065,0.05035,0.0781
42862,20.52576221000004,104.72562756600009,5,0.0392,0.0554,0.08505
42863,20.527926821000047,104.74197364400004,5,0.0732,0.08925,0.1114
42864,20.526529912000058,104.72813491900008,5,0.05035,0.06375,0.0908
42865,20.527661703000035,104.73272601100004,5,0.04695,0.06005,0.0815
42866,20.52774920300004,104.73563767600004,5,0.0609,0.0668,0.0936
42867,20.52887252700004,104.74200008100009,5,0.0598,0.0676,0.098
42868,20.52818352500003,104.74063359300004,5,0.0607,0.0706,0.10155
42869,20.528369661000056,104.73768190100007,5,0.05255,0.0604,0.0852
42870,20.52813914500007,104.73941001500005,5,0.05545,0.0679,0.0939
42871,20.52649985700004,104.72845975800004,5,0.05835,0.0722,0.0998
42872,20.52491196200004,104.72487342900008,5,0.06105,0.0676,0.10145
42873,20.526594577000026,104.72834305900004,5,0.05835,0.06135,0.0881
42874,20.529271855000047,104.74425194400004,5,0.05105,0.0667,0.0893
42875,20.528912138000067,104.74219716300009,5,0.0598,0.0681,0.1002
42876,20.52826991400008,104.74101443400008,5,0.06975,0.07365,0.104
42877,20.52599761100004,104.72714865700004,5,0.0598,0.0667,0.1013
42878,20.528195793000062,104.73906803500005,5,0.0572,0.07025,0.09495
42879,20.524710243000072,104.72485913100007,5,0.06105,0.0777,0.1145
42880,20.526545054000053,104.72799350000008,5,0.05035,0.0626,0.0887
42881,20.52528951700004,104.72524569500004,5,0.04525,0.05765,0.08575
42882,20.528676203000032,104.74547946700004,5,0.0686,0.08555,0.1258
42883,20.52907129600004,104.74122180700004,5,0.05485,0.0692,0.09565
42884,20.52768093000003,104.73433170700008,5,0.05515,0.0626,0.08695
42885,20.52684702300008,104.73049000800006,5,0.05505,0.07855,0.1046
42886,20.52860713000007,104.74198790800004,5,0.0598,0.0765,0.1085
42887,20.52723004400008,104.73154594300009,5,0.05955,0.06865,0.0957
42888,20.52789484100004,104.73869780500009,5,0.0572,0.0818,0.116
42889,20.528920796000023,104.74608330200005,5,0.06985,0.08515,0.121
42890,20.52492959100005,104.72433393600004,5,0.05635,0.06455,0.09255
42891,20.525870565000048,104.72721788000004,5,0.0598,0.08085,0.1152
42892,20.52875179900008,104.74482916400008,5,0.06725,0.0809,0.1184
42893,20.52765434600008,104.73795809200004,5,0.072,0.0876,0.1264
42894,20.52752132300003,104.73679950300004,5,0.06425,0.08195,0.117
42895,20.52778524100006,104.73852394600004,5,0.072,0.08545,0.1269
42896,20.524907450000057,104.72446167100009,5,0.05635,0.06195,0.09745
42897,20.52673480600004,104.72702244100007,5,0.0409,0.04625,0.0654
42898,20.528456960000028,104.73898892600003,5,0.04765,0.06195,0.0897
42899,20.52802263700005,104.74004504100007,5,0.0561,0.0744,0.107
42900,20.527121997000048,104.73338017400005,5,0.0708,0.09105,0.132
42901,20.52961931100004,104.74624271000005,5,0.04925,0.06425,0.09245
42902,20.52689670800004,104.72912177300007,5,0.0444,0.06085,0.08485
42903,20.527352362000045,104.73303077200006,5,0.0502,0.0721,0.1029
42904,20.52752427300004,104.73369207900004,5,0.053,0.0671,0.09525
42905,20.527628633000063,104.73473576400004,5,0.05885,0.0676,0.0926
42906,20.527894754000044,104.74095506500004,5,0.06975,0.0871,0.1327
42907,20.52759113000008,104.73189620900008,5,0.0448,0.06015,0.08245
42908,20.52775303900006,104.73781420000005,5,0.0698,0.08425,0.126
42909,20.528049289000023,104.73624369700008,5,0.04435,0.0603,0.08585
42910,20.52793329000008,104.74170340200004,5,0.0749,0.0961,0.1487
42911,20.527357640000048,104.73090071000009,5,0.04265,0.0636,0.0859
42912,20.527707673000062,104.73624623200004,5,0.06425,0.0715,0.09855
42913,20.528486432000022,104.73811497100009,5,0.0438,0.0626,0.0813
42914,20.52689020400004,104.72815311600004,5,0.03935,0.05875,0.0801
42915,20.527868210000065,104.74042923500008,5,0.0607,0.0818,0.1184
42916,20.52895558200004,104.74478810100004,5,0.0526,0.0712,0.0999
42917,20.52853941500007,104.74399375800004,5,0.06405,0.07935,0.1144
42918,20.527535358000023,104.73121808100008,5,0.04335,0.06025,0.084
42919,20.52525278200005,104.72476117700006,5,0.04525,0.05425,0.0829
42920,20.527974497000056,104.73935068400004,5,0.05545,0.074,0.107
42921,20.528183853000037,104.73628403700008,5,0.04435,0.05935,0.08875
42922,20.529004936000035,104.74411167300008,5,0.05105,0.0726,0.09295
42923,20.524617224000053,104.72462233200008,5,0.07045,0.08345,0.1247
42924,20.52643535600004,104.72866231600004,5,0.05835,0.0735,0.1053
42925,20.52810946100004,104.73925246400006,5,0.05545,0.0694,0.0987
42926,20.528717938000057,104.74123113300004,5,0.0503,0.0653,0.09085
42927,20.52948271100007,104.74663806900008,5,0.06465,0.06655,0.0947
42928,20.528750643000024,104.74537745300006,5,0.06725,0.0833,0.1176
42929,20.52585511800004,104.72674874600004,5,0.0514,0.0685,0.0991
42930,20.52766945700005,104.73520215700006,5,0.0609,0.0688,0.09865
42931,20.526947070000062,104.73013095500004,5,0.052,0.07105,0.0957
42932,20.524802016000024,104.72367365100008,5,0.05455,0.06895,0.09775
42933,20.528092152000056,104.73917320600005,5,0.05545,0.0725,0.09955
42934,20.52713256100003,104.73327021900008,5,0.0701,0.0888,0.1329
42935,20.526917147000063,104.73060345000005,5,0.05505,0.0734,0.1027
42936,20.528287121000066,104.74160975000008,5,0.0749,0.08695,0.1291
42937,20.52749711200005,104.73803027600007,5,0.072,0.0781,0.1087
42938,20.52482134200005,104.72427437700009,5,0.05635,0.0654,0.09985
42939,20.52866953000005,104.74361716800009,5,0.0627,0.0765,0.1108
42940,20.52798870500004,104.73911927200004,5,0.05545,0.0734,0.1066
42941,20.52836834600004,104.74088094500009,5,0.06975,0.0662,0.0952
42942,20.525549269000063,104.72624623500008,5,0.05865,0.0699,0.10375
42943,20.52832848400004,104.73782976800004,5,0.05255,0.0633,0.0878
42944,20.526414686000063,104.72881485600004,5,0.06085,0.07885,0.1084
42945,20.52918852500005,104.74384663200004,5,0.05105,0.07205,0.0932
42946,20.527127179000047,104.73081715300005,5,0.05505,0.07185,0.0977
42947,20.526442119000023,104.72848278700008,5,0.05835,0.0725,0.10235
42948,20.52744763800007,104.73507345500008,5,0.0609,0.0828,0.1189
42949,20.52643901800008,104.72801255200004,5,0.05035,0.0644,0.0949
42950,20.52874154000005,104.74395692800005,5,0.06405,0.0761,0.1087
42951,20.52800381900005,104.74089079200007,5,0.06975,0.08735,0.1256
42952,20.52582102600008,104.72635755800007,5,0.04225,0.0589,0.0884
42953,20.52845945400003,104.74103639400003,5,0.0503,0.06565,0.09175
42954,20.527829185000037,104.74166140900007,5,0.0729,0.09935,0.1426
42955,20.527714533000047,104.73169124600008,5,0.0448,0.057,0.0816
42956,20.527217654000022,104.73170171600005,5,0.06525,0.0734,0.1028
42957,20.527874192000077,104.73730798500009,5,0.048,0.0753,0.0999
