OID_,LAT,LONG,SymbolID,B04,B05,B06
364,19.84204325,105.351947,0,0.0508,0.0708,0.0827
365,19.8420112,105.352012619,0,0.061,0.0798,0.0978
366,19.84207749,105.3519578,0,0.0508,0.0708,0.0827
367,19.84199297,105.3520487,0,0.061,0.0798,0.0978
368,19.84198844,105.3520244,0,0.061,0.0798,0.0978
369,19.84205972,105.351929,0,0.0508,0.0708,0.0827
370,19.84203566,105.3520484,0,0.061,0.0798,0.0978
371,19.84209224,105.3519287,0,0.0518,0.0674,0.0938
372,19.84211317,105.3519674,0,0.0518,0.0674,0.0938
373,19.84209658,105.3519907,0,0.0518,0.0674,0.0938
374,19.84203156,105.3519498,0,0.0508,0.0708,0.0827
375,19.84209673,105.351939,0,0.0518,0.0674,0.0938
376,19.84209933,105.3519201,0,0.0518,0.0674,0.0938
377,19.84205235,105.3519702,0,0.0508,0.0708,0.0827
378,19.84198775,105.352019069,0,0.0612,0.0842,0.0992
379,19.84206486,105.3520204,0,0.061,0.0798,0.0978
380,19.84205312,105.3519981,0,0.061,0.0798,0.0978
381,19.842017083,105.3520352,0,0.061,0.0798,0.0978
382,19.842013882,105.3519922,0,0.061,0.0798,0.0978
383,19.84203792,105.3519888,0,0.0508,0.0708,0.0827
384,19.84203858,105.3520085,0,0.061,0.0798,0.0978
385,19.841987615,105.3520223,0,0.0612,0.0842,0.0992
386,19.8419972,105.3520491,0,0.061,0.0798,0.0978
387,19.84205542,105.3519339,0,0.0508,0.0708,0.0827
388,19.84205271,105.3519194,0,0.0508,0.0708,0.0827
389,19.84203346,105.3520096,0,0.061,0.0798,0.0978
390,19.84202351,105.352012,0,0.061,0.0798,0.0978
391,19.84199109,105.3520004,0,0.061,0.0798,0.0978
392,19.842025176,105.3519738,0,0.0508,0.0708,0.0827
393,19.84199494,105.3519993,0,0.061,0.0798,0.0978
394,19.84207479,105.3520285,0,0.061,0.0798,0.0978
395,19.842100313,105.3519199,0,0.0518,0.0674,0.0938
396,19.84204739,105.3520405,0,0.061,0.0798,0.0978
397,19.84209157,105.351928,0,0.0518,0.0674,0.0938
398,19.84207912,105.3520139,0,0.0653,0.085,0.1094
399,19.84208862,105.3520308,0,0.0653,0.085,0.1094
400,19.8487994,105.3496101,0,0.0768,0.1011,0.1286
401,19.84875057,105.3495573,0,0.0795,0.0998,0.0946
402,19.84875776,105.3495744,0,0.0768,0.1011,0.1286
403,19.84871923,105.34972,0,0.0732,0.0934,0.1094
404,19.84874372,105.3496207,0,0.0768,0.1011,0.1286
405,19.84873683,105.3496738,0,0.0824,0.0902,0.1268
406,19.84870417,105.3497532,0,0.08,0.1038,0.1044
407,19.84882629,105.3495473,0,0.0576,0.0775,0.0638
408,19.84866892,105.3497348,0,0.0732,0.0934,0.1094
409,19.84875037,105.3495393,0,0.0795,0.0998,0.0946
410,19.84874652,105.3497078,0,0.0824,0.0902,0.1268
411,19.84876894,105.349665,0,0.0824,0.0902,0.1268
412,19.8487235,105.3497003,0,0.0732,0.0934,0.1094
413,19.84878832,105.3495463,0,0.0795,0.0998,0.0946
414,19.84865143,105.3497031,0,0.0732,0.0934,0.1094
415,19.84880782,105.3496311,0,0.0768,0.1011,0.1286
416,19.84881011,105.3496622,0,0.0824,0.0902,0.1268
417,19.84871935,105.3497308,0,0.0732,0.0934,0.1094
418,19.848754888,105.3496771,0,0.0824,0.0902,0.1268
419,19.84873196,105.349597,0,0.0768,0.1011,0.1286
420,19.84872943,105.349706331,0,0.0824,0.0902,0.1268
421,19.84872112,105.349649264,0,0.0719,0.0985,0.116
422,19.84880044,105.349631,0,0.0768,0.1011,0.1286
423,19.84869127,105.3496384,0,0.0719,0.0985,0.116
424,19.8487618,105.3497021,0,0.0824,0.0902,0.1268
425,19.848786237,105.349506006,0,0.0795,0.0998,0.0946
426,19.84881345,105.3496643,0,0.0824,0.0902,0.1268
427,19.84867381,105.3496999,0,0.0732,0.0934,0.1094
428,19.84875473,105.3496753,0,0.0824,0.0902,0.1268
429,19.848697846,105.3497466,0,0.08,0.1038,0.1044
430,19.84880432,105.3496419,0,0.0768,0.1011,0.1286
431,19.84873024,105.3497074,0,0.0824,0.0902,0.1268
432,19.848793652,105.3495929,0,0.0768,0.1011,0.1286
433,19.84879354,105.34967,0,0.0824,0.0902,0.1268
434,19.84879797,105.349622,0,0.0768,0.1011,0.1286
435,19.8488328,105.3496367,0,0.0822,0.1042,0.104
436,19.84874533,105.3495587,0,0.0795,0.0998,0.0946
437,19.848755283,105.3495526,0,0.0795,0.0998,0.0946
438,19.84878389,105.349521,0,0.0795,0.0998,0.0946
439,19.84868004,105.3496896,0,0.0732,0.0934,0.1094
440,19.8487058,105.3495998,0,0.0719,0.0985,0.116
441,19.84879938,105.3495153,0,0.0795,0.0998,0.0946
442,19.84870218,105.3497351,0,0.0732,0.0934,0.1094
443,19.84873838,105.349745,0,0.0824,0.0902,0.1268
